,index,Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,depth,height,width
55,157,157,9149879,VALLENTUNA,Beds,1160.0,"1,450",True,https://www.ikea.com/sa/en/p/vallentuna-sofa-bed-module-hillared-dark-grey-s09149879/,Yes,        Sofa-bed module,100.0,45.0,80.0
56,159,159,400692,BRIMNES,Beds,220.0,250,True,https://www.ikea.com/sa/en/p/brimnes-headboard-with-storage-compartment-white-00400692/,No,"        Headboard with storage compartment,          90 cm",28.0,110.0,96.0
57,167,167,99302975,PLATSA,Beds,2163.5,"2,360",True,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-2-door-3-drawers-white-fonnes-s99302975/,No,"        Bed frame with 2 door+3 drawers,          142x244x163 cm",40.0,43.0,141.0
58,171,171,70340567,GRÄLVIKEN,Beds,1995.0,,True,https://www.ikea.com/sa/en/p/graelviken-3-seat-sofa-bed-grey-70340567/,No,        3-seat sofa-bed,86.0,74.0,225.0
59,172,172,89240761,HOLMSUND,Beds,2295.0,,True,https://www.ikea.com/sa/en/p/holmsund-three-seat-sofa-bed-orrsta-light-white-grey-s89240761/,Yes,        Three-seat sofa-bed,99.0,96.0,230.0
60,176,176,9302913,PLATSA,Beds,1611.0,"1,715",True,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-4-drawers-white-fonnes-s09302913/,No,"        Bed frame with 4 drawers,          142x244x43 cm",40.0,42.0,141.0
61,177,177,29278101,GRÖNLID,Beds,3595.0,,True,https://www.ikea.com/sa/en/p/groenlid-2-seat-sofa-bed-ljungen-dark-red-s29278101/,Yes,        2-seat sofa-bed,98.0,104.0,196.0
62,179,179,49278591,GRÖNLID,Beds,7610.0,,True,https://www.ikea.com/sa/en/p/groenlid-corner-sofa-bed-5-seat-with-chaise-longue-ljungen-dark-red-s49278591/,Yes,"        Corner sofa-bed, 5-seat",164.0,104.0,252.0
63,180,180,19129932,BRIMNES,Beds,1795.0,,True,https://www.ikea.com/sa/en/p/brimnes-day-bed-w-2-drawers-2-mattresses-white-malfors-medium-firm-s19129932/,Yes,"        Day-bed w 2 drawers/2 mattresses,          80x200 cm",53.0,21.0,86.0
64,181,181,80362974,SLÄKT,Beds,295.0,,True,https://www.ikea.com/sa/en/p/slaekt-storage-box-with-castors-80362974/,No,"        Storage box with castors,          62x62x35 cm",53.0,35.0,62.0
65,186,186,9217849,BRÅTHULT,Beds,1991.0,"2,100",True,https://www.ikea.com/sa/en/p/brathult-corner-sofa-bed-borred-grey-green-s09217849/,Yes,        Corner sofa-bed,78.0,69.0,212.0
66,187,187,19302917,PLATSA,Beds,2210.0,"2,395",True,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-storage-white-s19302917/,No,"        Bed frame with storage,          140x244x223 cm",40.0,43.0,140.0
67,189,189,9306435,NYHAMN,Beds,1445.0,,True,https://www.ikea.com/sa/en/p/nyhamn-3-seat-sofa-bed-with-pocket-spring-mattress-skiftebo-yellow-s09306435/,Yes,        3-seat sofa-bed,97.0,90.0,200.0
68,190,190,29277639,LIDHULT,Beds,9585.0,,True,https://www.ikea.com/sa/en/p/lidhult-corner-sofa-bed-6-seat-with-chaise-longue-lejde-red-brown-red-brown-s29277639/,Yes,"        Corner sofa-bed, 6-seat",164.0,102.0,387.0
69,194,194,9278003,VALLENTUNA,Beds,5780.0,"7,225",True,https://www.ikea.com/sa/en/p/vallentuna-modular-corner-sofa-3-seat-sofa-bed-and-storage-murum-white-s09278003/,Yes,        Modular corner sofa 3-seat+sofa-bed,93.0,84.0,266.0
70,195,195,19290014,LIDHULT,Beds,3340.0,,True,https://www.ikea.com/sa/en/p/lidhult-2-seat-sofa-bed-section-lejde-grey-black-s19290014/,Yes,        2-seat sofa-bed section,97.0,95.0,160.0
71,199,199,89300750,FLOTTEBO,Beds,2236.0,"2,795",True,https://www.ikea.com/sa/en/p/flottebo-sofa-bed-with-side-table-gunnared-medium-grey-s89300750/,Yes,"        Sofa-bed with side table,          120 cm",120.0,79.0,200.0
72,201,201,49292686,VIMLE,Beds,4645.0,,True,https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-bed-with-chaise-longue-gunnared-medium-grey-s49292686/,Yes,        3-seat sofa-bed,98.0,83.0,271.0
73,202,202,49306443,NYHAMN,Beds,1295.0,,True,https://www.ikea.com/sa/en/p/nyhamn-3-seat-sofa-bed-with-foam-mattress-skiftebo-yellow-s49306443/,Yes,        3-seat sofa-bed,97.0,90.0,200.0
74,209,209,79150746,HOLMSUND,Beds,2995.0,,True,https://www.ikea.com/sa/en/p/holmsund-corner-sofa-bed-nordvalla-medium-grey-s79150746/,Yes,        Corner sofa-bed,151.0,96.0,230.0
75,210,210,29277724,VALLENTUNA,Beds,4320.0,"5,400",True,https://www.ikea.com/sa/en/p/vallentuna-2-seat-modular-sofa-w-2-sofa-beds-murum-white-s29277724/,Yes,        2-seat modular sofa w 2 sofa-beds,113.0,84.0,186.0
76,211,211,59297481,FLOTTEBO,Beds,1596.0,"1,995",True,https://www.ikea.com/sa/en/p/flottebo-sofa-bed-vissle-dark-grey-s59297481/,Yes,"        Sofa-bed,          90 cm",90.0,79.0,200.0
77,212,212,9306355,NYHAMN,Beds,1520.0,,True,https://www.ikea.com/sa/en/p/nyhamn-sofa-bed-with-triple-cushion-with-pocket-spring-mattress-knisa-grey-beige-s09306355/,Yes,        Sofa-bed with triple cushion,97.0,90.0,200.0
78,213,213,20249896,SVÄRTA,Beds,300.0,375,True,https://www.ikea.com/sa/en/p/svaerta-desk-top-silver-colour-20249896/,No,        Desk top,88.0,2.0,200.0
79,214,214,29266184,LIDHULT,Beds,7785.0,,True,https://www.ikea.com/sa/en/p/lidhult-corner-sofa-bed-5-seat-lejde-grey-black-s29266184/,Yes,"        Corner sofa-bed, 5-seat",98.0,102.0,294.0
80,215,215,29278158,GRÖNLID,Beds,4270.0,,True,https://www.ikea.com/sa/en/p/groenlid-3-seat-sofa-bed-with-open-end-ljungen-medium-grey-s29278158/,Yes,        3-seat sofa-bed,98.0,104.0,231.0
81,219,219,60431563,FRIHETEN,Beds,1845.0,,True,https://www.ikea.com/sa/en/p/friheten-3-seat-sofa-bed-skiftebo-blue-60431563/,Yes,        3-seat sofa-bed,105.0,83.0,225.0
82,220,220,29285521,VIMLE,Beds,2945.0,,True,https://www.ikea.com/sa/en/p/vimle-2-seat-sofa-bed-section-gunnared-beige-s29285521/,Yes,        2-seat sofa-bed section,98.0,83.0,160.0
83,221,221,89278481,GRÖNLID,Beds,4790.0,,True,https://www.ikea.com/sa/en/p/groenlid-3-seat-sofa-bed-with-chaise-longue-inseros-white-s89278481/,Yes,        3-seat sofa-bed,164.0,104.0,277.0
84,227,227,19290603,LIDHULT,Beds,4841.0,"5,640",True,https://www.ikea.com/sa/en/p/lidhult-2-seat-sofa-bed-section-grann-bomstad-dark-brown-s19290603/,No,        2-seat sofa-bed section,97.0,95.0,160.0
85,229,229,59277652,VALLENTUNA,Beds,2932.0,"3,665",True,https://www.ikea.com/sa/en/p/vallentuna-2-seat-modular-sofa-with-sofa-bed-and-storage-hillared-light-blue-s59277652/,Yes,        2-seat modular sofa with sofa-bed,113.0,84.0,186.0
86,230,230,69278415,GRÖNLID,Beds,4390.0,,True,https://www.ikea.com/sa/en/p/groenlid-3-seat-sofa-bed-ljungen-light-green-s69278415/,Yes,        3-seat sofa-bed,98.0,104.0,267.0
87,234,234,19285588,VIMLE,Beds,3355.0,,True,https://www.ikea.com/sa/en/p/vimle-2-seat-sofa-bed-gunnared-medium-grey-s19285588/,Yes,        2-seat sofa-bed,98.0,83.0,190.0
88,235,235,29297454,FLOTTEBO,Beds,1676.0,"2,095",True,https://www.ikea.com/sa/en/p/flottebo-sofa-bed-with-side-table-vissle-purple-s29297454/,Yes,"        Sofa-bed with side table,          90 cm",90.0,79.0,200.0
89,236,236,99280884,LYCKSELE LÖVÅS,Beds,1345.0,,True,https://www.ikea.com/sa/en/p/lycksele-loevas-2-seat-sofa-bed-vallarum-cerise-s99280884/,Yes,        2-seat sofa-bed,100.0,87.0,142.0
90,237,237,9278569,GRÖNLID,Beds,6110.0,,True,https://www.ikea.com/sa/en/p/groenlid-corner-sofa-bed-4-seat-with-open-end-sporda-natural-s09278569/,Yes,"        Corner sofa-bed, 4-seat",98.0,104.0,235.0
91,238,238,19299726,VIMLE,Beds,7765.0,,True,https://www.ikea.com/sa/en/p/vimle-corner-sofa-bed-5-seat-with-chaise-longue-dalstorp-multicolour-s19299726/,Yes,"        Corner sofa-bed, 5-seat",98.0,83.0,349.0
92,239,239,29257066,LIDHULT,Beds,4040.0,,True,https://www.ikea.com/sa/en/p/lidhult-2-seat-sofa-bed-lejde-grey-black-s29257066/,Yes,        2-seat sofa-bed,98.0,102.0,208.0
93,240,240,39292465,VIMLE,Beds,4120.0,,True,https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-bed-with-open-end-tallmyra-black-grey-s39292465/,Yes,        3-seat sofa-bed,98.0,83.0,246.0
94,241,241,69292275,VIMLE,Beds,4265.0,,True,https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-bed-gunnared-beige-s69292275/,Yes,        3-seat sofa-bed,98.0,83.0,261.0
95,247,247,69297471,FLOTTEBO,Beds,1996.0,"2,495",True,https://www.ikea.com/sa/en/p/flottebo-sofa-bed-vissle-purple-s69297471/,Yes,"        Sofa-bed,          120 cm",120.0,79.0,200.0
96,248,248,39266094,LIDHULT,Beds,5840.0,,True,https://www.ikea.com/sa/en/p/lidhult-3-seat-sofa-bed-with-chaise-longue-lejde-grey-black-s39266094/,Yes,        3-seat sofa-bed,164.0,102.0,298.0
97,249,249,89149936,LYCKSELE HÅVET,Beds,1645.0,,True,https://www.ikea.com/sa/en/p/lycksele-havet-two-seat-sofa-bed-vallarum-grey-s89149936/,Yes,        Two-seat sofa-bed,100.0,87.0,142.0
98,250,250,39277196,GRÖNLID,Beds,3145.0,,True,https://www.ikea.com/sa/en/p/groenlid-2-seat-sofa-bed-section-ljungen-dark-red-s39277196/,Yes,        2-seat sofa-bed section,98.0,104.0,160.0
99,251,251,59266074,LIDHULT,Beds,7873.0,"9,430",True,https://www.ikea.com/sa/en/p/lidhult-3-seat-sofa-bed-with-chaise-longue-grann-bomstad-dark-brown-s59266074/,No,        3-seat sofa-bed,164.0,102.0,298.0
100,253,253,39266008,LIDHULT,Beds,5553.0,"6,530",True,https://www.ikea.com/sa/en/p/lidhult-2-seat-sofa-bed-grann-bomstad-dark-brown-s39266008/,No,        2-seat sofa-bed,98.0,102.0,208.0
101,255,255,59297141,JONAXEL,Bookcases & shelving units,135.0,138,True,https://www.ikea.com/sa/en/p/jonaxel-frame-with-mesh-baskets-s59297141/,No,"        Frame with mesh baskets,          25x51x70 cm",51.0,70.0,25.0
102,256,256,59201841,OLAUS,Bookcases & shelving units,290.0,350,True,https://www.ikea.com/sa/en/p/olaus-1-shelf-section-s59201841/,No,"        1 shelf section,          92x36x181 cm",36.0,181.0,92.0
103,257,257,59297674,JONAXEL,Bookcases & shelving units,915.0,"1,023",True,https://www.ikea.com/sa/en/p/jonaxel-frame-mesh-baskts-clths-rl-shlv-uts-s59297674/,No,"        Frame/mesh baskts/clths rl/shlv uts,          198x51x173 cm",51.0,173.0,198.0
104,258,258,450347,KOLBJÖRN,Bookcases & shelving units,345.0,,True,https://www.ikea.com/sa/en/p/kolbjoern-cabinet-in-outdoor-green-00450347/,No,"        Cabinet in/outdoor,          80x81 cm",35.0,81.0,80.0
105,259,259,69297287,JONAXEL,Bookcases & shelving units,375.0,437,True,https://www.ikea.com/sa/en/p/jonaxel-shelving-unit-s69297287/,No,"        Shelving unit,          182x51x160 cm",51.0,160.0,182.0
106,261,261,70261131,GERSBY,Bookcases & shelving units,95.0,,True,https://www.ikea.com/sa/en/p/gersby-bookcase-white-70261131/,No,"        Bookcase,          60x180 cm",24.0,180.0,60.0
107,262,262,20275814,KALLAX,Bookcases & shelving units,115.0,,True,https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-20275814/,Yes,"        Shelving unit,          77x77 cm",39.0,77.0,77.0
108,263,263,60282186,LACK,Bookcases & shelving units,199.0,,True,https://www.ikea.com/sa/en/p/lack-wall-shelf-unit-white-60282186/,Yes,"        Wall shelf unit,          30x190 cm",28.0,190.0,30.0
109,264,264,278578,HYLLIS,Bookcases & shelving units,59.0,,True,https://www.ikea.com/sa/en/p/hyllis-shelving-unit-in-outdoor-galvanised-00278578/,No,"        Shelving unit,          60x27x140 cm",27.0,140.0,60.0
110,265,265,80275887,KALLAX,Bookcases & shelving units,250.0,,True,https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-80275887/,Yes,"        Shelving unit,          77x147 cm",39.0,147.0,77.0
111,266,266,50419972,JONAXEL,Bookcases & shelving units,175.0,,True,https://www.ikea.com/sa/en/p/jonaxel-shelving-unit-white-50419972/,No,"        Shelving unit,          80x38x160 cm",38.0,160.0,80.0
112,267,267,30428326,HYLLIS,Bookcases & shelving units,39.0,,True,https://www.ikea.com/sa/en/p/hyllis-shelving-unit-in-outdoor-30428326/,No,"        Shelving unit,          60x27x74 cm",27.0,74.0,60.0
113,269,269,40178591,LAIVA,Bookcases & shelving units,85.0,,True,https://www.ikea.com/sa/en/p/laiva-bookcase-black-brown-40178591/,No,"        Bookcase,          62x165 cm",24.0,165.0,62.0
114,271,271,20346072,KALLAX,Bookcases & shelving units,30.0,50,True,https://www.ikea.com/sa/en/p/kallax-shelf-insert-light-grey-20346072/,No,        Shelf insert,12.0,35.0,33.0
