product_id,product_category,Height,width,material,color,product_image,product_brand,product_price,product_offer,product_rate,seller_id,product_name,product_description,depth
39031411,Bookcases & shelving units,171,78,,,,,165,,,,HEJNE,"        1 section,          78x31x171 cm",31
40415465,Bookcases & shelving units,199,65,,,,,476,,,,LOMMARP,"        Bookcase,          65x199 cm",34
40033763,Bookcases & shelving units,83,80,,,,,295,,,,IVAR,"        Cabinet,          80x30x83 cm",30
50339292,Bookcases & shelving units,95,100,,,,,495,,,,FJÄLLBO,"        Shelving unit,          100x95 cm",36
59278307,Bookcases & shelving units,147,77,,,,,500,,,,KALLAX,"        Shelving unit with 4 inserts,          77x147 cm",39
80263832,Bookcases & shelving units,106,40,,,,,95,,,,BILLY,"        Bookcase,          40x28x106 cm",28
19189030,Bookcases & shelving units,210,80,,,,,656,,,,EKET,"        Wall-mounted cabinet combination,          80x35x210 cm",35
69155853,Bookcases & shelving units,237,280,,,,,1510,,,,BILLY,"        Bookcase,          215/135x28x237 cm",28
30334605,Bookcases & shelving units,70,70,,,,,220,,,,EKET,"        Cabinet w 2 doors and 2 shelves,          70x25x70 cm",25
40277143,Bookcases & shelving units,202,20,,,,,125,,,,GNEDBY,"        Shelving unit,          202 cm",17
319135,Bookcases & shelving units,155,80,,,,,570,,,,IVAR,"        Storage unit with foldable table,          80x30-104x155 cm",30
79286434,Bookcases & shelving units,80,140,,,,,620,,,,EKET,"        Cabinet combination with legs,          140x35x80 cm",35
69281804,Bookcases & shelving units,202,120,,,,,915,,,,BILLY / OXBERG,"        Bookcase with glass-doors,          120x30x202 cm",30
10261129,Bookcases & shelving units,180,60,,,,,149,,,,FINNBY,"        Bookcase,          60x180 cm",24
20213312,Bookcases & shelving units,175,100,,,,,395,,,,VITTSJÖ,"        Shelving unit,          100x175 cm",36
29281066,Bookcases & shelving units,202,80,,,,,385,,,,BILLY / OXBERG,"        Bookcase with doors,          80x30x202 cm",30
30381593,Bookcases & shelving units,83,80,,,,,345,,,,IVAR,"        Cabinet with doors,          80x83 cm",30
90344456,Bookcases & shelving units,150,46,,,,,275,,,,VILTO,"        Shelving unit,          46x150 cm",26
30263844,Bookcases & shelving units,106,80,,,,,115,,,,BILLY,"        Bookcase,          80x28x106 cm",28
70301542,Bookcases & shelving units,182,182,,,,,725,,,,KALLAX,"        Shelving unit,          182x182 cm",39
69017828,Bookcases & shelving units,202,80,,,,,575,,,,BILLY / OXBERG,"        Bookcase,          80x30x202 cm",30
19286390,Bookcases & shelving units,175,70,,,,,400,,,,EKET,"        Wall-mounted storage combination,          70x25x175 cm",25
9305087,Bookcases & shelving units,70,25,,,,,135,,,,JONAXEL,"        Frame/wire baskets/top shelf,          25x51x70 cm",51
79302721,Bookcases & shelving units,74,120,,,,,920,,,,BESTÅ,"        Storage combination with doors,          120x42x74 cm",42
70342199,Bookcases & shelving units,136,51,,,,,295,,,,FJÄLLBO,"        Shelving unit,          51x136 cm",36
60413502,Bookcases & shelving units,197,90,,,,,796,,,,HEMNES,"        Bookcase,          90x197 cm",37
39287398,Bookcases & shelving units,202,40,,,,,340,,,,BILLY / OXBERG,"        Bookcase with glass door,          40x30x202 cm",30
39278290,Bookcases & shelving units,147,42,,,,,345,,,,KALLAX,"        Shelving unit with 2 inserts,          42x147 cm",39
99291745,Bookcases & shelving units,140,60,,,,,84,,,,HYLLIS,"        Shelving unit with cover,          60x27x140 cm",27
49280042,Bookcases & shelving units,106,80,,,,,315,,,,BILLY / OXBERG,"        Bookcase with doors,          80x30x106 cm",30
90301555,Bookcases & shelving units,42,77,,,,,115,,,,KALLAX,"        Shelving unit,          77x42 cm",39
70302283,Bookcases & shelving units,190,67,,,,,237,,,,BRUSALI,"        Bookcase,          67x190 cm",33
9197436,Bookcases & shelving units,147,77,,,,,450,,,,KALLAX,"        Shelving unit with doors,          77x147 cm",39
